id,platform,theme,class,text
1312,playstore,fit_sizing_anxiety,POST-PURCHASE,"I love using this fashion shopping app because it makes buying clothes simple and fun. The interface is colorful, easy to navigate, and full of options for every style and occasion. I can quickly filter by size, color, price, and brand, which saves a lot of time. The product images, reviews, and size guide help me shop confidently. Delivery is fast, returns are easy, and the frequent discounts make shopping exciting and budget-friendly."
1007,playstore,fit_sizing_anxiety,POST-PURCHASE,"I absolutely loved this product! 💙 The quality is amazing and it looks exactly the same as shown in the pictures. The fabric is soft, lightweight, and very comfortable to wear for long hours. The stitching is neat, and the finishing is excellent. The color is vibrant and doesn't fade even after washing. The fitting is perfect according to the size chart, and it gives a very elegant and stylish look. It can be worn casually as well as for small gatherings or outings. I received so many complimen"
1339,playstore,fit_sizing_anxiety,POST-PURCHASE,"I should say the products in this app are authentic but delivery is very slow why don't you make the delivery a bit faster because sometimes it takes longer period for delivery so can't wait to receive our items or else it's okay the only thing I would like to recommend is would be grateful if you could make the delivery a bit faster and one thing I would like to say is that is about the sizes because large sizes fits me but some time it's loose that's why have to exchange with medium size why ?"
1603,playstore,fit_sizing_anxiety,POST-PURCHASE,"Completely cheat.. sending wrong size product and then refuses to exchange or refund."
1587,playstore,fit_sizing_anxiety,POST-PURCHASE,"They deliver low quality, size mismatched products and then say that it can't be returned, only if a different product is delivered then only it can be returned. Better purchase from local vendors."
1032,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra is a fantastic online shopping platform for fashion and lifestyle, offering a huge selection, trendy styles, and easy returns. Key highlights include big brand variety, fast delivery, and helpful size guides. Amazing shopping experience! Myntra has the best collection of trendy clothes and top brands. Delivery is always on time, and the return policy is super smooth. Highly recommended for fashion lovers!"
1249,playstore,fit_sizing_anxiety,POST-PURCHASE,"worst application I have ordered 2 things 1 adidas shoes way before but that came 1 size small and other big mis pair and the other order that came different product and the backend team say we can't help in exchange worst app"
567,playstore,fit_sizing_anxiety,POST-PURCHASE,"​""Amazing shopping experience with Myntra. Not only is the delivery incredibly fast, but their return and exchange policy is also completely hassle-free. Whenever something doesn't fit quite right, they pick it up quickly and process the refund or exchange within days. 100% reliable and stress-free shopping."""
997,playstore,fit_sizing_anxiety,POST-PURCHASE,"""I absolutely loved this Gerua by Libas suit set. The fabric feels comfortable and lightweight, making it perfect for both casual and festive occasions. The embroidery/print is elegant and looks exactly as shown in the pictures. The fitting is true to size, and the stitching quality is impressive for the price. The dupatta adds a graceful touch to the overall look. I received many compliments when I wore it. Great value for money and highly recommended!"""
1709,playstore,fit_sizing_anxiety,POST-PURCHASE,"Myntra is the worst online shopping portal I had a prepaid order of 2 back packs and 1 sling bag Although late but I recvd 1 sling bag and 1 backpack which I returned as it was too small I got the refund for 1 backpack The other backpack was not delivered when I enquired and complained they said it was already delivered and closed the complaint ticket Now neither Im getting the undelivered backpack nor my moneyback This is the worst experience I had I say never shop at myntra."
